response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0031,0.0006,0.0000,0.0001,0.0024,0.0000,200,2.5037
0.0030,0.0008,0.0000,0.0000,0.0021,0.0001,200,2.5038
0.0033,0.0009,0.0000,0.0002,0.0022,0.0001,200,2.5035
0.0031,0.0008,0.0000,0.0000,0.0022,0.0000,200,2.5038
0.0036,0.0009,0.0000,0.0002,0.0025,0.0001,200,2.5035
0.0026,0.0006,0.0000,0.0000,0.0018,0.0001,200,2.6035
0.0026,0.0006,0.0000,0.0000,0.0019,0.0001,200,2.6034
0.0024,0.0005,0.0000,0.0001,0.0018,0.0001,200,2.6036
0.0024,0.0004,0.0000,0.0001,0.0019,0.0000,200,2.6036
0.0025,0.0005,0.0000,0.0001,0.0019,0.0000,200,2.6036
0.0029,0.0007,0.0000,0.0001,0.0021,0.0000,200,2.6033
0.0026,0.0005,0.0000,0.0001,0.0020,0.0000,200,2.6035
0.0026,0.0005,0.0000,0.0000,0.0021,0.0000,200,2.6036
0.0030,0.0006,0.0000,0.0001,0.0022,0.0001,200,2.6033
0.0030,0.0006,0.0000,0.0000,0.0023,0.0000,200,2.6035
0.0031,0.0009,0.0000,0.0001,0.0020,0.0000,200,2.7028
0.0032,0.0010,0.0000,0.0000,0.0020,0.0001,200,2.7028
0.0030,0.0008,0.0000,0.0001,0.0020,0.0001,200,2.7030
0.0031,0.0011,0.0000,0.0000,0.0020,0.0000,200,2.7028
0.0030,0.0008,0.0000,0.0001,0.0021,0.0000,200,2.7030
0.0030,0.0007,0.0000,0.0000,0.0022,0.0000,200,2.7030
0.0036,0.0011,0.0000,0.0000,0.0024,0.0001,200,2.7028
0.0035,0.0009,0.0000,0.0000,0.0025,0.0000,200,2.7030
0.0041,0.0009,0.0000,0.0001,0.0030,0.0001,200,2.7029
0.0044,0.0010,0.0000,0.0000,0.0033,0.0001,200,2.7028
0.0025,0.0006,0.0000,0.0000,0.0018,0.0001,200,2.8038
0.0028,0.0007,0.0000,0.0001,0.0019,0.0001,200,2.8038
0.0030,0.0007,0.0000,0.0000,0.0023,0.0000,200,2.8038
0.0033,0.0006,0.0000,0.0001,0.0025,0.0000,200,2.8038
0.0034,0.0008,0.0000,0.0001,0.0025,0.0000,200,2.8037
0.0035,0.0008,0.0000,0.0001,0.0026,0.0000,200,2.8037
0.0037,0.0007,0.0000,0.0002,0.0028,0.0000,200,2.8037
0.0039,0.0009,0.0000,0.0001,0.0029,0.0000,200,2.8036
0.0042,0.0010,0.0000,0.0001,0.0031,0.0000,200,2.8035
0.0047,0.0008,0.0000,0.0000,0.0038,0.0000,200,2.8037
0.0028,0.0007,0.0000,0.0000,0.0020,0.0001,200,2.9029
0.0028,0.0006,0.0000,0.0000,0.0021,0.0000,200,2.9029
0.0029,0.0007,0.0000,0.0000,0.0021,0.0000,200,2.9029
0.0033,0.0008,0.0000,0.0000,0.0024,0.0001,200,2.9027
0.0032,0.0007,0.0000,0.0000,0.0024,0.0001,200,2.9028
